"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Karnataka","Construction of footpaths and pedestrian ways","WS/MP18080/2025-2026/181962","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE","CHAMARAJANAGAR(SC)","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"2","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233878","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","832080"
"3","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233777","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","21-Aug-2026","DARSH BUILDCON","Payment In-Progress","799146"
"4","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233875","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","02-Jul-2026","DARSH BUILDCON","Payment In-Progress","997763"
"5","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233781","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","498309"
"6","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Aug-2026","Electromech Enterpries","Payment In-Progress","733960"
"7","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Aug-2026","Electromech Enterpries","Payment In-Progress","733960"
"8","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Aug-2026","Electromech Enterpries","Payment In-Progress","733960"
"9","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Aug-2026","Electromech Enterpries","Payment In-Progress","733960"
"10","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Aug-2026","Electromech Enterpries","Payment In-Progress","733960"
"11","Uttar Pradesh","Lighting of public spaces","WS/MP18203/2026-2027/281155","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","ADITYA YADAV","BADAUN","17-Aug-2026","Electromech Enterpries","Payment In-Progress","733960"
